"","Contig","moduleColor"
"329","Phel_clc_contig_9571","green"
"330","Phel_clc_contig_18268","yellow"
"331","Phel_clc_contig_3867","lightyellow"
"332","Phel_clc_contig_570","lightyellow"
"333","Phel_clc_contig_714","blue"
"334","Phel_clc_contig_5527","blue"
"335","Phel_clc_contig_7739","lightyellow"
"336","Phel_clc_contig_1244","royalblue"
"337","Phel_clc_contig_1291","magenta"
"338","Phel_clc_contig_188","magenta"
"339","Phel_clc_contig_10096","royalblue"
"340","Phel_clc_contig_13975","magenta"
"341","Phel_clc_contig_12562","red"
"342","Phel_clc_contig_3450","red"
"343","Phel_clc_contig_13040","royalblue"
"344","Phel_clc_contig_3395","royalblue"
"345","Phel_clc_contig_15442","royalblue"
"346","Phel_clc_contig_2449","royalblue"
"347","Phel_clc_contig_6649","royalblue"
"348","Phel_clc_contig_10261","magenta"
"349","Phel_clc_contig_2843","royalblue"
"350","Phel_clc_contig_129","pink"
"351","Phel_clc_contig_7497","red"
"352","Phel_clc_contig_1621","darkred"
"353","Phel_clc_contig_15160","pink"
"354","Phel_clc_contig_1748","pink"
"355","Phel_clc_contig_15246","tan"
"356","Phel_clc_contig_3848","pink"
"357","Phel_clc_contig_1067","royalblue"
"358","Phel_clc_contig_13229","red"
"359","Phel_clc_contig_17294","red"
"360","Phel_clc_contig_13004","royalblue"
"361","Phel_clc_contig_6210","magenta"
"362","Phel_clc_contig_1729","royalblue"
"363","Phel_clc_contig_9743","royalblue"
"364","Phel_clc_contig_10674","royalblue"
"365","Phel_clc_contig_4987","royalblue"
"366","Phel_clc_contig_14379","red"
"367","Phel_clc_contig_15496","royalblue"
"368","Phel_clc_contig_3007","red"
"369","Phel_clc_contig_3167","magenta"
"370","Phel_clc_contig_1675","darkred"
"371","Phel_clc_contig_5542","brown"
"372","Phel_clc_contig_2132","magenta"
"373","Phel_clc_contig_9315","darkred"
"374","Phel_clc_contig_625","darkred"
"375","Phel_clc_contig_7258","magenta"
"376","Phel_clc_contig_11874","pink"
"377","Phel_clc_contig_2327","magenta"
"378","Phel_clc_contig_282","tan"
"379","Phel_clc_contig_3713","magenta"
"380","Phel_clc_contig_4663","royalblue"
"381","Phel_clc_contig_6226","magenta"
"382","Phel_clc_contig_4364","red"
"383","Phel_clc_contig_1300","magenta"
"384","Phel_clc_contig_13906","darkred"
"385","Phel_clc_contig_3928","darkred"
"386","Phel_clc_contig_3591","darkred"
"387","Phel_clc_contig_831","darkred"
"388","Phel_clc_contig_2389","lightcyan"
"389","Phel_clc_contig_9286","darkred"
"390","Phel_clc_contig_1874","turquoise"
"391","Phel_clc_contig_4360","royalblue"
"392","Phel_clc_contig_632","yellow"
"393","Phel_clc_contig_2030","magenta"
"394","Phel_clc_contig_7129","darkred"
"395","Phel_clc_contig_10101","turquoise"
"396","Phel_clc_contig_16985","darkred"
"397","Phel_clc_contig_4914","darkred"
"398","Phel_clc_contig_10685","turquoise"
"399","Phel_clc_contig_1992","turquoise"
"400","Phel_clc_contig_5816","turquoise"
"401","Phel_clc_contig_25","purple"
"402","Phel_clc_contig_6080","turquoise"
"403","Phel_clc_contig_276","darkred"
"404","Phel_clc_contig_1508","darkred"
"405","Phel_clc_contig_1716","darkred"
"406","Phel_clc_contig_39","turquoise"
"407","Phel_clc_contig_9736","turquoise"
"408","Phel_clc_contig_1074","turquoise"
"409","Phel_clc_contig_106","darkred"
"410","Phel_clc_contig_2691","turquoise"
"411","Phel_clc_contig_433","red"
"412","Phel_clc_contig_193","turquoise"
"413","Phel_clc_contig_2796","turquoise"
"414","Phel_clc_contig_2593","turquoise"
"415","Phel_clc_contig_913","purple"
"416","Phel_clc_contig_1365","turquoise"
"417","Phel_clc_contig_14220","royalblue"
"418","Phel_clc_contig_765","turquoise"
"419","Phel_clc_contig_5341","turquoise"
